1641.366(0.0, 349.0, 0.0)
1641.866(0.0, 354.2, 0.0)
1642.383(0.0, 354.3, 0.0)
1642.899(0.0, 344.2, 0.0)
1643.415(0.0, 337.9, 0.0)
1643.931(0.0, 320.2, 0.0)
1644.447(0.0, 333.3, 0.0)
1644.963(0.0, 1.0, 0.0)
1645.479(0.0, 2.7, 0.0)
1645.995(0.0, 353.3, 0.0)
23, 4
1646.511(0.0, 355.8, 0.0)
1647.028(0.0, 356.3, 0.0)
1647.544(0.0, 356.3, 0.0)
1648.06(0.0, 354.6, 0.0)
1648.576(0.0, 351.1, 0.0)
1649.092(0.0, 350.5, 0.0)
1649.608(0.0, 350.5, 0.0)
1650.125(0.0, 350.5, 0.0)
1650.641(0.0, 348.3, 0.0)
1651.157(0.0, 348.0, 0.0)
1651.673(0.0, 348.0, 0.0)
23, 5
1652.189(0.0, 348.0, 0.0)
1652.705(0.0, 347.8, 0.0)
1653.221(0.0, 347.8, 0.0)
1653.738(0.0, 347.8, 0.0)
1654.254(0.0, 347.8, 0.0)
1654.77(0.0, 347.8, 0.0)
1655.286(0.0, 347.8, 0.0)
1655.802(0.0, 347.8, 0.0)
1656.318(0.0, 347.8, 0.0)
1656.835(0.0, 347.8, 0.0)
1657.351(0.0, 347.8, 0.0)
23, 6
1657.983(0.0, 345.8, 0.0)
1658.51(0.0, 344.3, 0.0)
1659.026(0.0, 0.1, 0.0)
1659.542(0.0, 0.5, 0.0)
1660.058(0.0, 0.5, 0.0)
1660.574(0.0, 357.9, 0.0)
1661.09(0.0, 354.4, 0.0)
1661.607(0.0, 352.0, 0.0)
1662.123(0.0, 352.0, 0.0)
1662.639(0.0, 352.0, 0.0)
24, 1
1663.155(0.0, 352.0, 0.0)
1663.671(0.0, 352.0, 0.0)
1664.187(0.0, 352.0, 0.0)
1664.703(0.0, 352.0, 0.0)
1665.22(0.0, 350.5, 0.0)
1665.736(0.0, 350.5, 0.0)
1666.252(0.0, 350.5, 0.0)
1666.768(0.0, 350.5, 0.0)
1667.284(0.0, 350.5, 0.0)
1667.8(0.0, 350.5, 0.0)
24, 2
1668.317(0.0, 350.5, 0.0)
1668.833(0.0, 350.5, 0.0)
1669.349(0.0, 359.6, 0.0)
1669.866(0.0, 341.8, 0.0)
1670.382(0.0, 338.5, 0.0)
1670.899(0.0, 338.5, 0.0)
1671.399(0.0, 338.5, 0.0)
1671.916(0.0, 338.5, 0.0)
1672.432(0.0, 338.5, 0.0)
1672.949(0.0, 338.5, 0.0)
24, 3
1673.466(0.0, 338.5, 0.0)
1673.982(0.0, 338.5, 0.0)
1674.499(0.0, 338.5, 0.0)
1675.016(0.0, 338.5, 0.0)
1675.532(0.0, 338.5, 0.0)
1676.049(0.0, 338.5, 0.0)
1676.566(0.0, 338.5, 0.0)
1677.082(0.0, 14.0, 0.0)
1677.599(0.0, 14.7, 0.0)
1678.115(0.0, 14.7, 0.0)
24, 4
1678.632(0.0, 14.7, 0.0)
1679.149(0.0, 14.7, 0.0)
1679.666(0.0, 14.7, 0.0)
1680.182(0.0, 14.7, 0.0)
1680.699(0.0, 14.7, 0.0)
1681.215(0.0, 14.7, 0.0)
1681.732(0.0, 14.7, 0.0)
1682.249(0.0, 14.7, 0.0)
1682.765(0.0, 14.7, 0.0)
24, 5
1683.282(0.0, 14.7, 0.0)
1683.799(0.0, 14.7, 0.0)
1684.315(0.0, 14.7, 0.0)
1684.832(0.0, 14.7, 0.0)
1685.349(0.0, 14.7, 0.0)
1685.865(0.0, 14.7, 0.0)
1686.382(0.0, 14.7, 0.0)
1686.899(0.0, 14.7, 0.0)
24, 6
1687.482(0.0, 14.7, 0.0)
1687.982(0.0, 14.7, 0.0)
1688.499(0.0, 14.7, 0.0)
1689.015(0.0, 14.7, 0.0)
1689.532(0.0, 14.7, 0.0)
1690.049(0.0, 14.7, 0.0)
1690.565(0.0, 14.7, 0.0)
1691.082(0.0, 9.8, 0.0)
25, 1
1691.599(0.0, 9.7, 0.0)
1692.099(0.0, 9.7, 0.0)
1692.615(0.0, 45.0, 0.0)
1693.132(0.0, 357.8, 0.0)
1693.649(0.0, 347.5, 0.0)
1694.158(0.0, 352.7, 0.0)
1694.674(0.0, 352.8, 0.0)
1695.19(0.0, 352.8, 0.0)
1695.706(0.0, 352.8, 0.0)
1696.223(0.0, 352.8, 0.0)
1696.739(0.0, 352.8, 0.0)
25, 2
1697.255(0.0, 352.8, 0.0)
1697.771(0.0, 352.8, 0.0)
1698.287(0.0, 352.8, 0.0)
1698.803(0.0, 352.8, 0.0)
1699.319(0.0, 352.8, 0.0)
1699.836(0.0, 352.8, 0.0)
1700.352(0.0, 352.8, 0.0)
1700.868(0.0, 352.8, 0.0)
1701.384(0.0, 356.3, 0.0)
1701.9(0.0, 357.3, 0.0)
25, 3
1702.416(0.0, 357.3, 0.0)
1702.933(0.0, 357.3, 0.0)
1703.449(0.0, 357.3, 0.0)
1703.965(0.0, 357.3, 0.0)
1704.482(0.0, 357.3, 0.0)
1704.998(0.0, 357.3, 0.0)
1705.515(0.0, 357.3, 0.0)
1706.032(0.0, 357.3, 0.0)
1706.548(0.0, 357.3, 0.0)
1707.065(0.0, 357.3, 0.0)
1707.582(0.0, 357.3, 0.0)
1708.098(0.0, 357.3, 0.0)
25, 4
1708.615(0.0, 357.3, 0.0)
1709.132(0.0, 357.3, 0.0)
1709.632(0.0, 16.0, 0.0)
1710.148(0.0, 349.3, 0.0)
1710.665(0.0, 344.1, 0.0)
1711.182(0.0, 352.5, 0.0)
1711.698(0.0, 352.5, 0.0)
1712.215(0.0, 29.8, 0.0)
1712.732(0.0, 36.2, 0.0)
1713.248(0.0, 41.2, 0.0)
1713.748(0.0, 30.0, 0.0)
1714.265(0.0, 40.8, 0.0)
25, 5
1714.782(0.0, 36.3, 0.0)
1715.298(0.0, 338.8, 0.0)
1715.815(0.0, 320.5, 0.0)
1716.332(0.0, 345.1, 0.0)
1716.848(0.0, 287.5, 0.0)
1717.348(0.0, 286.9, 0.0)
1717.865(0.0, 278.6, 0.0)
1718.381(0.0, 325.3, 0.0)
1718.898(0.0, 1.7, 0.0)
1719.415(0.0, 345.1, 0.0)
1719.932(0.0, 344.5, 0.0)
1720.448(0.0, 344.5, 0.0)
1720.965(0.0, 344.5, 0.0)
1721.481(0.0, 359.9, 0.0)
1721.998(0.0, 359.8, 0.0)
1722.515(0.0, 359.8, 0.0)
25, 6
1723.315(0.0, 359.2, 0.0)
1723.831(0.0, 359.0, 0.0)
1724.348(0.0, 359.0, 0.0)
1724.865(0.0, 352.0, 0.0)
1725.381(0.0, 356.0, 0.0)
1725.898(0.0, 357.0, 0.0)
1726.415(0.0, 357.0, 0.0)
1726.931(0.0, 357.0, 0.0)
26, 1
1727.448(0.0, 357.0, 0.0)
1727.948(0.0, 357.0, 0.0)
1728.465(0.0, 357.0, 0.0)
1728.981(0.0, 357.0, 0.0)
1729.498(0.0, 357.0, 0.0)
1730.015(0.0, 2.9, 0.0)
1730.531(0.0, 0.4, 0.0)
1731.048(0.0, 0.2, 0.0)
26, 2
1731.565(0.0, 0.1, 0.0)
1732.081(0.0, 358.8, 0.0)
1732.598(0.0, 358.0, 0.0)
1733.115(0.0, 358.0, 0.0)
1733.631(0.0, 358.0, 0.0)
1734.148(0.0, 358.0, 0.0)
1734.665(0.0, 358.0, 0.0)
1735.181(0.0, 358.0, 0.0)
1735.698(0.0, 358.0, 0.0)
26, 3
1736.215(0.0, 358.0, 0.0)
1736.731(0.0, 358.0, 0.0)
1737.248(0.0, 358.0, 0.0)
1737.765(0.0, 358.0, 0.0)
1738.281(0.0, 358.0, 0.0)
1738.798(0.0, 358.0, 0.0)
1739.315(0.0, 358.0, 0.0)
1739.831(0.0, 358.0, 0.0)
26, 4
1740.348(0.0, 358.0, 0.0)
1740.865(0.0, 358.0, 0.0)
1741.381(0.0, 358.0, 0.0)
1741.898(0.0, 358.0, 0.0)
1742.414(0.0, 358.0, 0.0)
1742.931(0.0, 358.0, 0.0)
1743.448(0.0, 358.0, 0.0)
1743.964(0.0, 358.0, 0.0)
26, 5
1744.481(0.0, 358.0, 0.0)
1744.998(0.0, 358.0, 0.0)
1745.514(0.0, 350.1, 0.0)
1746.031(0.0, 346.0, 0.0)
1746.548(0.0, 347.0, 0.0)
1747.064(0.0, 348.4, 0.0)
1747.581(0.0, 351.0, 0.0)
1748.098(0.0, 351.0, 0.0)
26, 6
1748.614(0.0, 351.0, 0.0)
1749.131(0.0, 351.0, 0.0)
1749.634(0.0, 351.0, 0.0)
1750.151(0.0, 351.0, 0.0)
1750.667(0.0, 351.0, 0.0)
1751.183(0.0, 351.0, 0.0)
1751.699(0.0, 351.0, 0.0)
1752.215(0.0, 351.0, 0.0)
1752.731(0.0, 351.0, 0.0)
1753.248(0.0, 351.0, 0.0)
1753.764(0.0, 351.0, 0.0)
1754.281(0.0, 359.3, 0.0)
1754.781(0.0, 352.2, 0.0)
1755.298(0.0, 348.0, 0.0)
1755.814(0.0, 348.0, 0.0)
1756.331(0.0, 348.0, 0.0)
1756.848(0.0, 348.0, 0.0)
1757.364(0.0, 348.0, 0.0)
1757.881(0.0, 349.7, 0.0)
27, 1
1758.398(0.0, 349.8, 0.0)
1758.914(0.0, 349.8, 0.0)
1759.431(0.0, 349.8, 0.0)
1759.948(0.0, 349.8, 0.0)
1760.464(0.0, 349.8, 0.0)
1760.981(0.0, 349.8, 0.0)
1761.498(0.0, 349.8, 0.0)
1762.014(0.0, 349.8, 0.0)
1762.531(0.0, 349.8, 0.0)
1763.047(0.0, 349.8, 0.0)
27, 2
1763.564(0.0, 349.8, 0.0)
1764.081(0.0, 349.8, 0.0)
1764.597(0.0, 349.8, 0.0)
1765.114(0.0, 349.8, 0.0)
1765.631(0.0, 349.8, 0.0)
1766.147(0.0, 349.8, 0.0)
1766.664(0.0, 349.8, 0.0)
1767.181(0.0, 349.8, 0.0)
27, 3
1767.681(0.0, 349.8, 0.0)
1768.197(0.0, 349.8, 0.0)
1768.714(0.0, 349.8, 0.0)
1769.214(0.0, 349.8, 0.0)
1769.731(0.0, 349.8, 0.0)
1770.247(0.0, 349.8, 0.0)
1770.764(0.0, 349.8, 0.0)
1771.281(0.0, 349.8, 0.0)
1771.797(0.0, 349.8, 0.0)
1772.314(0.0, 349.8, 0.0)
1772.831(0.0, 349.8, 0.0)
1773.347(0.0, 349.8, 0.0)
1773.864(0.0, 349.8, 0.0)
27, 4
1774.381(0.0, 349.8, 0.0)
1774.897(0.0, 349.8, 0.0)
1775.414(0.0, 349.8, 0.0)
1775.931(0.0, 349.8, 0.0)
1776.447(0.0, 349.8, 0.0)
1776.964(0.0, 349.8, 0.0)
1777.481(0.0, 349.8, 0.0)
1777.997(0.0, 349.8, 0.0)
1778.514(0.0, 349.8, 0.0)
27, 5
1779.031(0.0, 349.8, 0.0)
1779.547(0.0, 349.8, 0.0)
1780.064(0.0, 349.8, 0.0)
1780.581(0.0, 349.8, 0.0)
1781.097(0.0, 349.8, 0.0)
1781.614(0.0, 349.8, 0.0)
1782.13(0.0, 349.8, 0.0)
1782.647(0.0, 349.8, 0.0)
27, 6
1783.164(0.0, 349.8, 0.0)
1783.68(0.0, 349.8, 0.0)
1784.197(0.0, 349.8, 0.0)
1784.714(0.0, 349.8, 0.0)
1785.23(0.0, 349.8, 0.0)
1785.747(0.0, 349.8, 0.0)
1786.264(0.0, 349.8, 0.0)
1786.78(0.0, 349.8, 0.0)
1787.297(0.0, 349.8, 0.0)
1787.814(0.0, 349.8, 0.0)
1788.33(0.0, 349.8, 0.0)
1788.847(0.0, 349.8, 0.0)
1789.364(0.0, 349.8, 0.0)
1789.88(0.0, 349.8, 0.0)
1790.397(0.0, 349.8, 0.0)
1790.914(0.0, 349.8, 0.0)
1791.43(0.0, 349.8, 0.0)
1791.947(0.0, 349.8, 0.0)
1792.464(0.0, 349.8, 0.0)
1792.98(0.0, 349.8, 0.0)
1793.497(0.0, 349.8, 0.0)
1794.014(0.0, 349.8, 0.0)
1794.53(0.0, 349.8, 0.0)
1795.047(0.0, 349.8, 0.0)
1795.564(0.0, 349.8, 0.0)
1796.08(0.0, 349.8, 0.0)
1796.597(0.0, 349.8, 0.0)
1797.114(0.0, 349.8, 0.0)
1797.63(0.0, 349.8, 0.0)
1798.147(0.0, 349.8, 0.0)
1798.664(0.0, 349.8, 0.0)
1799.18(0.0, 349.8, 0.0)
1799.697(0.0, 349.8, 0.0)
1800.214(0.0, 349.8, 0.0)
1800.73(0.0, 349.8, 0.0)
1801.247(0.0, 349.8, 0.0)
1801.763(0.0, 349.8, 0.0)
1802.264(0.0, 349.8, 0.0)
1802.78(0.0, 349.8, 0.0)
1803.297(0.0, 349.8, 0.0)
1803.813(0.0, 349.8, 0.0)
1804.33(0.0, 349.8, 0.0)
1804.847(0.0, 349.8, 0.0)
1805.363(0.0, 349.8, 0.0)
1805.88(0.0, 349.8, 0.0)
1806.38(0.0, 349.8, 0.0)
1806.897(0.0, 349.8, 0.0)
1807.413(0.0, 349.8, 0.0)
1807.913(0.0, 349.8, 0.0)
1808.43(0.0, 349.8, 0.0)
1808.947(0.0, 349.8, 0.0)
1809.463(0.0, 349.8, 0.0)
1809.98(0.0, 349.8, 0.0)
1810.497(0.0, 349.8, 0.0)
1811.013(0.0, 349.8, 0.0)
1811.53(0.0, 349.8, 0.0)
1812.047(0.0, 349.8, 0.0)
1812.563(0.0, 349.8, 0.0)
1813.08(0.0, 349.8, 0.0)
1813.597(0.0, 349.8, 0.0)
1814.113(0.0, 349.8, 0.0)
1814.63(0.0, 349.8, 0.0)
1815.147(0.0, 349.8, 0.0)
1815.663(0.0, 349.8, 0.0)
1816.18(0.0, 349.8, 0.0)
1816.697(0.0, 349.8, 0.0)
1817.213(0.0, 349.8, 0.0)
1817.73(0.0, 349.8, 0.0)
1818.246(0.0, 349.8, 0.0)
1818.747(0.0, 349.8, 0.0)
1819.263(0.0, 349.8, 0.0)
1819.78(0.0, 349.8, 0.0)
1820.297(0.0, 349.8, 0.0)
1820.813(0.0, 349.8, 0.0)
1821.33(0.0, 349.8, 0.0)
1821.846(0.0, 349.8, 0.0)
1822.363(0.0, 349.8, 0.0)
1822.863(0.0, 349.8, 0.0)
1823.38(0.0, 349.8, 0.0)
1823.896(0.0, 349.8, 0.0)
1824.413(0.0, 349.8, 0.0)
1824.93(0.0, 349.8, 0.0)
1825.446(0.0, 349.8, 0.0)
1825.963(0.0, 349.8, 0.0)
1826.48(0.0, 349.8, 0.0)
1826.996(0.0, 349.8, 0.0)
1827.513(0.0, 349.8, 0.0)
1828.03(0.0, 349.8, 0.0)
1828.546(0.0, 349.8, 0.0)
1829.046(0.0, 349.8, 0.0)
1829.563(0.0, 349.8, 0.0)
1830.08(0.0, 349.8, 0.0)
1830.596(0.0, 349.8, 0.0)
1831.113(0.0, 349.8, 0.0)
1831.63(0.0, 349.8, 0.0)
1832.146(0.0, 349.8, 0.0)
1832.646(0.0, 349.8, 0.0)
1833.163(0.0, 89.5, 0.0)
1833.68(0.0, 40.5, 0.0)
1834.196(0.0, 40.5, 0.0)
1834.713(0.0, 40.5, 0.0)
1835.229(0.0, 40.5, 0.0)
1835.746(0.0, 40.5, 0.0)
1836.263(0.0, 40.5, 0.0)
1836.78(0.0, 273.1, 0.0)
1837.296(0.0, 269.0, 0.0)
1837.813(0.0, 269.0, 0.0)
1838.329(0.0, 269.0, 0.0)
1838.846(0.0, 269.0, 0.0)
1839.346(0.0, 269.0, 0.0)
1839.863(0.0, 269.0, 0.0)
1840.363(0.0, 269.0, 0.0)
1840.879(0.0, 269.0, 0.0)
1841.38(0.0, 269.0, 0.0)
1841.896(0.0, 269.0, 0.0)
1842.413(0.0, 269.0, 0.0)
